threshold,precision,recall,f1,accuracy,tp,fp,fn,tn
0.1,0.34164358264081257,0.9893048128342246,0.5078929306794784,0.49112845990063875,370,713,4,322
0.11,0.3474178403755869,0.9893048128342246,0.5142460041695622,0.5039034776437189,370,695,4,340
0.12,0.35446685878962536,0.9866310160427807,0.5215547703180212,0.5195173882185947,369,672,5,363
0.13,0.3586744639376218,0.983957219251337,0.5257142857142857,0.5287437899219305,368,658,6,377
0.14,0.3630069238377844,0.9812834224598931,0.5299638989169675,0.5379701916252662,367,644,7,391
0.15,0.3672032193158954,0.9759358288770054,0.533625730994152,0.5471965933286018,365,629,9,406
0.16,0.3713123092573754,0.9759358288770054,0.5379513633014001,0.5550035486160397,365,618,9,417
0.17,0.3739754098360656,0.9759358288770054,0.5407407407407407,0.559971611071682,365,611,9,424
0.18,0.38235294117647056,0.9732620320855615,0.5490196078431373,0.5755855216465579,364,588,10,447
0.19,0.38486140724946694,0.9652406417112299,0.5503048780487805,0.5812633073101491,361,577,13,458
0.2,0.38876889848812096,0.9625668449197861,0.5538461538461539,0.5883605393896381,360,566,14,469
0.21,0.3938730853391685,0.9625668449197861,0.5590062111801242,0.5968772178850248,360,554,14,481
0.22,0.3982202447163515,0.9572192513368984,0.5624509033778476,0.6046841731724627,358,541,16,494
0.23,0.40158371040723984,0.9491978609625669,0.5643879173290938,0.6110716820440029,355,529,19,506
0.24,0.40503432494279173,0.946524064171123,0.5673076923076923,0.6167494677075941,354,520,20,515
0.25,0.4071925754060325,0.9385026737967914,0.5679611650485437,0.6210078069552875,351,511,23,524
0.26,0.4122497055359246,0.9358288770053476,0.5723630417007359,0.6288147622427254,350,499,24,536
0.27,0.4161712247324614,0.9358288770053476,0.5761316872427984,0.6344925479063165,350,491,24,544
0.28,0.4225181598062954,0.9331550802139037,0.5816666666666667,0.6437189496096523,349,477,25,558
0.29,0.4259485924112607,0.93048128342246,0.5843828715365239,0.6486870120652946,348,469,26,566
0.3,0.42998760842627015,0.9278074866310161,0.5876375952582558,0.6543647977288858,347,460,27,575
0.31,0.4339622641509434,0.9224598930481284,0.5902480752780154,0.6600425833924769,345,450,29,585
0.32,0.4365482233502538,0.9197860962566845,0.5920826161790017,0.6635911994322214,344,444,30,591
0.33,0.44030808729139925,0.9171122994652406,0.5949696444058976,0.6685592618878637,343,436,31,599
0.34,0.44328552803129073,0.9090909090909091,0.595968448729185,0.6728176011355571,340,427,34,608
0.35,0.4470899470899471,0.9037433155080213,0.5982300884955752,0.6777856635911994,338,418,36,617
0.36,0.448,0.8983957219251337,0.597864768683274,0.6792051100070973,336,414,38,621
0.37,0.4522207267833109,0.8983957219251337,0.6016114592658908,0.6841731724627396,336,407,38,628
0.38,0.4554183813443073,0.8877005347593583,0.6019945602901179,0.6884315117104329,332,397,42,638
