threshold,precision,recall,f1,accuracy,n_predicted_churn,n_predicted_no_churn
0.1,0.4059633027522936,0.946524064171123,0.5682182985553772,0.6181689141234918,872,537
0.11,0.4112808460634548,0.9358288770053476,0.5714285714285714,0.6273953158268275,851,558
0.12,0.4187725631768953,0.93048128342246,0.5775933609958506,0.63875088715401,831,578
0.13,0.4298136645962733,0.9251336898395722,0.5869380831212893,0.6543647977288858,805,604
0.14,0.43670886075949367,0.9224598930481284,0.5927835051546392,0.6635911994322214,790,619
0.15,0.43958868894601544,0.9144385026737968,0.59375,0.6678495386799148,778,631
0.16,0.4440052700922266,0.9010695187165776,0.5948808473080318,0.674237047551455,759,650
0.17,0.4497991967871486,0.8983957219251337,0.5994647636039251,0.681334279630944,747,662
0.18,0.454421768707483,0.893048128342246,0.6023444544634806,0.6870120652945352,735,674
0.19,0.4611032531824611,0.8716577540106952,0.603145235892692,0.6955287437899219,707,702
0.2,0.46715328467153283,0.8556149732620321,0.6043437204910292,0.7026259758694109,685,724
0.21,0.47384155455904337,0.8475935828877005,0.6078619367209971,0.7097232079489,669,740
0.22,0.4801829268292683,0.8422459893048129,0.6116504854368932,0.71611071682044,656,753
0.23,0.486697965571205,0.8315508021390374,0.6140177690029615,0.7224982256919801,639,770
0.24,0.4896,0.8181818181818182,0.6126126126126126,0.7253371185237757,625,784
0.25,0.4975369458128079,0.8101604278074866,0.6164801627670397,0.7324343506032647,609,800
0.26,0.5067796610169492,0.7994652406417112,0.6203319502074689,0.7402413058907026,590,819
0.27,0.5149384885764499,0.7834224598930482,0.6214209968186638,0.7466288147622427,569,840
0.28,0.5168738898756661,0.7780748663101604,0.6211312700106724,0.7480482611781405,563,846
0.29,0.516245487364621,0.7647058823529411,0.6163793103448276,0.7473385379701917,554,855
0.3,0.5193370165745856,0.7540106951871658,0.6150490730643402,0.7494677075940384,543,866
0.31,0.5293005671077504,0.7486631016042781,0.6201550387596899,0.7565649396735273,529,880
0.32,0.5321637426900585,0.7299465240641712,0.6155580608793687,0.7579843860894251,513,896
0.33,0.538,0.7192513368983957,0.6155606407322655,0.7615330021291696,500,909
0.34,0.5383064516129032,0.713903743315508,0.6137931034482759,0.7615330021291696,496,913
0.35,0.5432098765432098,0.7058823529411765,0.6139534883720931,0.7643718949609652,486,923
0.36,0.5469728601252609,0.7005347593582888,0.6143024618991794,0.7665010645848119,479,930
0.37,0.5546038543897216,0.6925133689839572,0.6159334126040428,0.7707594038325053,467,942
0.38,0.5599128540305011,0.6871657754010695,0.617046818727491,0.7735982966643009,459,950
0.39,0.5669642857142857,0.679144385026738,0.6180048661800487,0.7771469127040455,448,961
0.4,0.5681818181818182,0.6684491978609626,0.6142506142506142,0.7771469127040455,440,969
0.41,0.5717592592592593,0.660427807486631,0.6129032258064516,0.7785663591199432,432,977
0.42,0.5775656324582339,0.6470588235294118,0.6103404791929382,0.7806955287437899,419,990
0.43,0.583743842364532,0.6336898395721925,0.6076923076923076,0.7828246983676366,406,1003
0.44,0.5894206549118388,0.6256684491978609,0.6070038910505836,0.7849538679914834,397,1012
0.45,0.6020942408376964,0.6149732620320856,0.6084656084656085,0.7899219304471257,382,1027
0.46,0.6124661246612466,0.6042780748663101,0.6083445491251682,0.7934705464868701,369,1040
0.47,0.6256983240223464,0.5989304812834224,0.6120218579234973,0.7984386089425124,358,1051
0.48,0.6311239193083573,0.5855614973262032,0.6074895977808599,0.7991483321504613,347,1062
0.49,0.649546827794562,0.5748663101604278,0.6099290780141844,0.8048261178140526,331,1078
0.5,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.8055358410220014,318,1091
0.51,0.6622950819672131,0.5401069518716578,0.5949926362297496,0.8048261178140526,305,1104
0.52,0.6575342465753424,0.5133689839572193,0.5765765765765766,0.7998580553584103,292,1117
0.53,0.6654676258992805,0.4946524064171123,0.5674846625766872,0.7998580553584103,278,1131
0.54,0.6703703703703704,0.4839572192513369,0.562111801242236,0.7998580553584103,270,1139
0.55,0.6784313725490196,0.4625668449197861,0.5500794912559619,0.7991483321504613,255,1154
0.56,0.6842105263157895,0.45187165775401067,0.5442834138486312,0.7991483321504613,247,1162
0.57,0.6861924686192469,0.4385026737967914,0.5350734094616639,0.7977288857345636,239,1170
0.58,0.6956521739130435,0.42780748663101603,0.5298013245033113,0.7984386089425124,230,1179
0.59,0.7072072072072072,0.4197860962566845,0.5268456375838926,0.7998580553584103,222,1187
0.6,0.7177033492822966,0.40106951871657753,0.5145797598627787,0.7991483321504613,209,1200
0.61,0.7291666666666666,0.37433155080213903,0.49469964664310956,0.7970191625266146,192,1217
0.62,0.726775956284153,0.35561497326203206,0.47755834829443444,0.7934705464868701,183,1226
0.63,0.7514792899408284,0.339572192513369,0.4677716390423573,0.794889992902768,169,1240
0.64,0.7515527950310559,0.3235294117647059,0.4523364485981308,0.7920511000709723,161,1248
0.65,0.7467532467532467,0.3074866310160428,0.4356060606060606,0.7885024840312278,154,1255
0.66,0.7464788732394366,0.28342245989304815,0.4108527131782946,0.7842441447835344,142,1267
0.67,0.7421875,0.2540106951871658,0.3784860557768924,0.7785663591199432,128,1281
0.68,0.7226890756302521,0.22994652406417113,0.3488843813387424,0.7721788502484032,119,1290
0.69,0.7403846153846154,0.20588235294117646,0.32217573221757323,0.7700496806245565,104,1305
0.7,0.7419354838709677,0.18449197860962566,0.2955032119914347,0.7665010645848119,93,1316
0.71,0.7466666666666667,0.1497326203208556,0.24944320712694878,0.7608232789212207,75,1334
0.72,0.782608695652174,0.1443850267379679,0.24379232505643342,0.7622427253371186,69,1340
0.73,0.7586206896551724,0.11764705882352941,0.2037037037037037,0.7558552164655784,58,1351
0.74,0.7659574468085106,0.0962566844919786,0.171021377672209,0.752306600425834,47,1362
0.75,0.7368421052631579,0.0748663101604278,0.13592233009708737,0.7473385379701917,38,1371
0.76,0.7419354838709677,0.06149732620320856,0.11358024691358025,0.7452093683463449,31,1378
0.77,0.7037037037037037,0.05080213903743316,0.09476309226932668,0.7423704755145494,27,1382
0.78,0.7619047619047619,0.0427807486631016,0.0810126582278481,0.7423704755145494,21,1388
0.79,0.75,0.03208556149732621,0.06153846153846154,0.7402413058907026,16,1393
0.8,0.7692307692307693,0.026737967914438502,0.05167958656330749,0.7395315826827538,13,1396
0.81,0.7272727272727273,0.0213903743315508,0.04155844155844156,0.7381121362668559,11,1398
0.82,1.0,0.0106951871657754,0.021164021164021163,0.7374024130589071,4,1405
0.83,1.0,0.0053475935828877,0.010638297872340425,0.7359829666430092,2,1407
0.84,1.0,0.00267379679144385,0.005333333333333333,0.7352732434350603,1,1408
0.85,1.0,0.00267379679144385,0.005333333333333333,0.7352732434350603,1,1408
0.86,0.0,0.0,0.0,0.7345635202271115,0,1409
0.87,0.0,0.0,0.0,0.7345635202271115,0,1409
0.88,0.0,0.0,0.0,0.7345635202271115,0,1409
0.89,0.0,0.0,0.0,0.7345635202271115,0,1409
0.9,0.0,0.0,0.0,0.7345635202271115,0,1409
