threshold,accuracy,precision,recall,f1,tp,fp,fn,tn
0.1,0.6285055023074192,0.4120070629782225,0.9364548494983278,0.5722460658082976,1400,1998,95,2141
0.11,0.6430599929002485,0.42129347162904207,0.9237458193979933,0.5786716949507648,1381,1897,114,2242
0.12,0.6558395456159034,0.4301007556675063,0.9137123745819398,0.5848854634981803,1366,1810,129,2329
0.13,0.6654242101526446,0.4369340232858991,0.9036789297658863,0.5890560279049488,1351,1741,144,2398
0.14,0.6751863684771033,0.4444812727875373,0.8969899665551839,0.5944148936170213,1341,1676,154,2463
0.15,0.6826411075612353,0.4503558115892918,0.8889632107023412,0.5978407557354926,1329,1622,166,2517
0.16,0.6913383031593894,0.4576682859125607,0.8822742474916387,0.6026959104409413,1319,1563,176,2576
0.17,0.6980830670926518,0.46355272469922154,0.8762541806020067,0.6063411247396436,1310,1516,185,2623
0.18,0.7085552005679802,0.4733212341197822,0.8722408026755852,0.6136470588235294,1304,1451,191,2688
0.19,0.7156549520766773,0.48017784364579474,0.8668896321070234,0.6180257510729614,1296,1403,199,2736
0.2,0.7239971600993965,0.48859315589353614,0.8595317725752508,0.623030303030303,1285,1345,210,2794
0.21,0.7300319488817891,0.49493769470404986,0.8501672240802676,0.6256460743293133,1271,1297,224,2842
0.22,0.7357117500887469,0.5011942675159236,0.8421404682274247,0.6284002994759171,1259,1253,236,2886
0.23,0.7392616258430955,0.5052931596091205,0.8301003344481606,0.6281953935712478,1241,1215,254,2924
0.24,0.7438764643237487,0.510797342192691,0.822742474916388,0.6302843966179862,1230,1178,265,2961
0.25,0.7490237841675541,0.5171682916490038,0.8160535117056856,0.6331084587441619,1220,1139,275,3000
0.26,0.7534611288604899,0.5230434782608696,0.8046822742474916,0.6339920948616601,1203,1097,292,3042
0.27,0.7578984735534257,0.5291499777481086,0.7953177257525084,0.635489043292357,1189,1058,306,3081
0.28,0.7619808306709265,0.535063752276867,0.7859531772575251,0.6366838255215389,1175,1021,320,3118
0.29,0.7671281505147319,0.5428571428571428,0.7752508361204014,0.6385674931129477,1159,976,336,3163
0.3,0.7701455449059283,0.5479846449136276,0.7638795986622073,0.6381670857781503,1142,942,353,3197
0.31,0.7728079517216897,0.5528775209050664,0.7518394648829432,0.63718820861678,1124,909,371,3230
0.32,0.7752928647497338,0.5580334515965535,0.7364548494983277,0.6349480968858131,1101,872,394,3267
0.33,0.7772452964146255,0.5626304801670147,0.7210702341137124,0.6320727059513339,1078,838,417,3301
0.34,0.7806176783812566,0.5692883895131086,0.711705685618729,0.6325802615933412,1064,805,431,3334
0.35,0.7834575789847356,0.5755909840571742,0.7003344481605351,0.631864815932408,1047,772,448,3367
0.36,0.7868299609513667,0.5835227272727272,0.6869565217391305,0.6310291858678956,1027,733,468,3406
0.37,0.7909123180688676,0.5936207914943886,0.6722408026755853,0.6304893350062736,1005,688,490,3451
0.38,0.7951721689740859,0.6035215543412265,0.6648829431438127,0.6327180140038192,994,653,501,3486
0.39,0.7973020944266951,0.6102435977514054,0.6535117056856188,0.6311369509043928,977,624,518,3515
0.4,0.7988995385161519,0.6161745827984596,0.6421404682274248,0.6288896167703898,960,598,535,3541
0.41,0.8003194888178914,0.6223544973544973,0.6294314381270903,0.6258729630861324,941,571,554,3568
0.42,0.802626908058218,0.630360789652825,0.6193979933110368,0.6248313090418354,926,543,569,3596
0.43,0.8036918707845225,0.6349757113115891,0.6120401337792643,0.6232970027247956,915,526,580,3613
0.44,0.8056443024494143,0.6422475106685633,0.6040133779264214,0.6225439503619442,903,503,592,3636
0.45,0.8054668086616968,0.645090909090909,0.5933110367892976,0.6181184668989547,887,488,608,3651
0.46,0.8058217962371317,0.650187265917603,0.5806020066889632,0.6134275618374558,868,467,627,3672
0.47,0.8056443024494143,0.6547987616099071,0.565886287625418,0.6071044133476857,846,446,649,3693
0.48,0.8052893148739794,0.6576862123613312,0.5551839464882943,0.6021037359448677,830,432,665,3707
0.49,0.8068867589634363,0.6658516707416463,0.5464882943143813,0.6002939015429831,817,410,678,3729
0.5,0.8077742279020235,0.6719532554257095,0.5384615384615384,0.597846268102488,805,393,690,3746
0.51,0.8052893148739794,0.6730434782608695,0.5177257525083612,0.5852551984877127,774,376,721,3763
0.52,0.8059992900248492,0.6781914893617021,0.5117056856187291,0.5833015630956919,765,363,730,3776
0.53,0.8044018459353922,0.6797804208600183,0.49698996655518396,0.5741885625965997,743,350,752,3789
0.54,0.802626908058218,0.6818613485280152,0.4802675585284281,0.5635792778649922,718,335,777,3804
0.55,0.8015619453319134,0.686818632309217,0.4635451505016722,0.5535143769968051,693,316,802,3823
0.56,0.8015619453319134,0.6937307297019527,0.451505016722408,0.5470016207455429,675,298,820,3841
0.57,0.8010294639687611,0.6985138004246284,0.44013377926421404,0.5400082068116536,658,284,837,3855
0.58,0.7980120695775648,0.6981132075471698,0.42073578595317723,0.5250417362270451,629,272,866,3867
0.59,0.7983670571529996,0.7079953650057937,0.40869565217391307,0.5182357930449534,611,252,884,3887
0.6,0.7978345757898474,0.715496368038741,0.39531772575250834,0.5092632485997415,591,235,904,3904
0.61,0.7957046503372383,0.716624685138539,0.3806020066889632,0.49716033202271737,569,225,926,3914
0.62,0.7939297124600639,0.7226666666666667,0.3625418060200669,0.48285077951002225,542,208,953,3931
0.63,0.7932197373091942,0.7285318559556787,0.35183946488294315,0.4745151105096978,526,196,969,3943
0.64,0.792332268370607,0.7344877344877345,0.34046822742474914,0.46526508226691043,509,184,986,3955
0.65,0.7921547745828896,0.7432432432432432,0.3311036789297659,0.45812124016658956,495,171,1000,3968
0.66,0.7896698615548455,0.7476038338658147,0.3130434782608696,0.44130127298444133,468,158,1027,3981
0.67,0.7875399361022364,0.7508417508417509,0.2983277591973244,0.4269985639061752,446,148,1049,3991
0.68,0.7859424920127795,0.7548500881834215,0.2862876254180602,0.4151309408341416,428,139,1067,4000
0.69,0.7836350727724529,0.7613636363636364,0.2688963210702341,0.39742956005931784,402,126,1093,4013
0.7,0.7825701100461484,0.7710843373493976,0.2568561872909699,0.3853487205218264,384,114,1111,4025
0.71,0.7816826411075612,0.7861771058315334,0.24347826086956523,0.3718079673135853,364,99,1131,4040
0.72,0.7797302094426695,0.7981220657276995,0.22742474916387959,0.35398230088495575,340,86,1155,4053
0.73,0.7784877529286475,0.8064516129032258,0.21739130434782608,0.3424657534246575,325,78,1170,4061
0.74,0.7763578274760383,0.8067885117493473,0.20668896321070235,0.329073482428115,309,74,1186,4065
0.75,0.7752928647497338,0.828080229226361,0.19331103678929765,0.31344902386117135,289,60,1206,4079
0.76,0.77209797657082,0.8370607028753994,0.17525083612040135,0.28982300884955753,262,51,1233,4088
0.77,0.7705005324813632,0.8506944444444444,0.16387959866220736,0.2748177229388671,245,43,1250,4096
0.78,0.768370607028754,0.8625954198473282,0.15117056856187291,0.257256687535572,226,36,1269,4103
0.79,0.7665956691515797,0.875,0.14046822742474915,0.2420749279538905,210,30,1285,4109
0.8,0.7649982250621228,0.8868778280542986,0.13110367892976588,0.22843822843822845,196,25,1299,4114
0.81,0.762158324458644,0.8894472361809045,0.11839464882943143,0.2089728453364817,177,22,1318,4117
0.82,0.7571884984025559,0.8802395209580839,0.09832775919732442,0.17689530685920576,147,20,1348,4119
0.83,0.753106141285055,0.8823529411764706,0.0802675585284281,0.14714898835070508,120,16,1375,4123
0.84,0.7492012779552716,0.8867924528301887,0.06287625418060201,0.1174266083697689,94,12,1401,4127
0.85,0.7461838835640753,0.9012345679012346,0.04882943143812709,0.09263959390862944,73,8,1422,4131
0.86,0.7435214767483138,0.890625,0.03812709030100334,0.07312379730596537,57,7,1438,4132
0.87,0.740681576144835,0.8863636363636364,0.02608695652173913,0.050682261208576995,39,5,1456,4134
0.88,0.7381966631167909,0.8846153846153846,0.015384615384615385,0.030243261012491782,23,3,1472,4136
0.89,0.7369542066027689,0.9333333333333333,0.009364548494983277,0.018543046357615896,14,1,1481,4138
0.9,0.7357117500887469,1.0,0.004013377926421404,0.007994670219853431,6,0,1489,4139
