batch_id,scenario,feature,feature_type,test,statistic,p_value,magnitude_measure,baseline_mean,batch_mean,adjusted_p_value,drift_detected
batch_001,stable,tenure,numerical,Kolmogorov-Smirnov,0.02469329073482429,0.6676011458395322,0.02469329073482429,32.4851,32.017,0.9241356216659284,False
batch_001,stable,MonthlyCharges,numerical,Kolmogorov-Smirnov,0.03893965211217604,0.14774054568396774,0.03893965211217604,64.93,66.1695,0.40129115201411564,False
batch_001,stable,TotalCharges,numerical,Kolmogorov-Smirnov,0.022487042953496628,0.7736547852928944,0.022487042953496628,2299.3347,2319.8458,0.9470610342448942,False
batch_001,stable,SeniorCitizen,numerical,Kolmogorov-Smirnov,0.00829428470003546,0.9999999805815544,0.00829428470003546,0.1633,0.155,0.9999999805815544,False
batch_001,stable,gender,categorical,Chi-Square,0.058981249321853224,0.8081134231527807,0.0038399006034788574,,,0.9470610342448942,False
batch_001,stable,Partner,categorical,Chi-Square,0.000579828942530291,0.9807890855277205,0.0003805466808661784,,,0.9999999805815544,False
batch_001,stable,Dependents,categorical,Chi-Square,0.9352838347430068,0.3334936773156426,0.013987930422435263,,,0.5760345335452008,False
batch_001,stable,PhoneService,categorical,Chi-Square,2.4445102270944794,0.11793669094985719,0.014780972665956689,,,0.40129115201411564,False
batch_001,stable,MultipleLines,categorical,Chi-Square,2.9594866288049655,0.22769612719975332,0.018570820021299235,,,0.43262264167953135,False
batch_001,stable,InternetService,categorical,Chi-Square,3.52115326034533,0.17194568616068245,0.023477458288959877,,,0.40129115201411564,False
batch_001,stable,OnlineSecurity,categorical,Chi-Square,3.320564904180531,0.19008528253300214,0.023477458288959904,,,0.40129115201411564,False
batch_001,stable,OnlineBackup,categorical,Chi-Square,3.4115185723790207,0.18163442129695184,0.023477458288959904,,,0.40129115201411564,False
batch_001,stable,DeviceProtection,categorical,Chi-Square,4.120476144220881,0.12742363027087636,0.023477458288959877,,,0.40129115201411564,False
batch_001,stable,TechSupport,categorical,Chi-Square,3.5715499722779844,0.16766707098048492,0.023477458288959877,,,0.40129115201411564,False
batch_001,stable,StreamingTV,categorical,Chi-Square,3.345255466360464,0.1877530519306556,0.023477458288959904,,,0.40129115201411564,False
batch_001,stable,StreamingMovies,categorical,Chi-Square,3.648308880825925,0.1613540209035891,0.023477458288959877,,,0.40129115201411564,False
batch_001,stable,Contract,categorical,Chi-Square,0.3312347457657931,0.8473703990612211,0.007785942492012754,,,0.9470610342448942,False
batch_001,stable,PaperlessBilling,categorical,Chi-Square,0.7843664555636186,0.3758090403004113,0.01376819311324104,,,0.5950309804756513,False
batch_001,stable,PaymentMethod,categorical,Chi-Square,1.505757952224846,0.6809420370169998,0.017059282925097646,,,0.9241356216659284,False
batch_002,mild_shift,tenure,numerical,Kolmogorov-Smirnov,0.206449769258076,3.436469684904947e-32,0.206449769258076,32.4851,22.843,3.2646462006596996e-31,True
batch_002,mild_shift,MonthlyCharges,numerical,Kolmogorov-Smirnov,0.1668441604543841,4.0284961691987216e-21,0.1668441604543841,64.93,68.807,2.5513809071591904e-20,True
batch_002,mild_shift,TotalCharges,numerical,Kolmogorov-Smirnov,0.13652183173588928,2.891128676506331e-14,0.13652183173588928,2299.3347,1729.2562,1.3732861213405072e-13,True
batch_002,mild_shift,SeniorCitizen,numerical,Kolmogorov-Smirnov,0.017705715299964453,0.9478355662559815,0.017705715299964453,0.1633,0.181,0.9478355662559815,False
batch_002,mild_shift,gender,categorical,Chi-Square,0.38730707012635834,0.5337183272941821,0.009839900603478863,,,0.5633693454771923,False
batch_002,mild_shift,Partner,categorical,Chi-Square,25.229705660310714,5.089226562082584e-07,0.07938054668086614,,,9.66953046795691e-07,True
batch_002,mild_shift,Dependents,categorical,Chi-Square,11.482662074002556,0.0007024843805466054,0.049012069577564765,,,0.0009533716593132502,True
batch_002,mild_shift,PhoneService,categorical,Chi-Square,1.1684360622857484,0.2797228207463244,0.010219027334043326,,,0.31263138789295075,False
batch_002,mild_shift,MultipleLines,categorical,Chi-Square,16.16894414479971,0.000308289256139484,0.06342917997870078,,,0.0004505766051269381,True
batch_002,mild_shift,InternetService,categorical,Chi-Square,8.043865322548982,0.017918301446586717,0.044282925097621564,,,0.022696515165676508,True
batch_002,mild_shift,OnlineSecurity,categorical,Chi-Square,30.596472389187145,2.2701807556543873e-07,0.08454987575434858,,,5.39167929467917e-07,True
batch_002,mild_shift,OnlineBackup,categorical,Chi-Square,25.105836618396033,3.5345721120902103e-06,0.07756017039403622,,,6.105170011792181e-06,True
batch_002,mild_shift,DeviceProtection,categorical,Chi-Square,50.91985964711749,8.767847106388287e-12,0.10823535676251332,,,2.7764849170229577e-11,True
batch_002,mild_shift,TechSupport,categorical,Chi-Square,57.335620054000735,3.545914805785592e-13,0.11316471423500175,,,1.347447626198525e-12,True
batch_002,mild_shift,StreamingTV,categorical,Chi-Square,30.090595158476233,2.9235483641137644e-07,0.08389882854100104,,,6.171935435351281e-07,True
batch_002,mild_shift,StreamingMovies,categorical,Chi-Square,23.51195590016763,7.84230352272265e-06,0.07449627263045792,,,1.2416980577644197e-05,True
batch_002,mild_shift,Contract,categorical,Chi-Square,146.53892869335766,1.5117359543346853e-32,0.1904142705005325,,,2.8722983132359022e-31,True
batch_002,mild_shift,PaperlessBilling,categorical,Chi-Square,1.784688977985849,0.18157459950066793,0.020768193113241046,,,0.21561983690704317,False
batch_002,mild_shift,PaymentMethod,categorical,Chi-Square,47.09041725891073,3.325044211413476e-10,0.09510223642172523,,,9.025120002408007e-10,True
batch_003,strong_shift,tenure,numerical,Kolmogorov-Smirnov,0.3396932907348243,1.1951875413861575e-87,0.3396932907348243,32.4851,16.743,1.1354281643168497e-86,True
batch_003,strong_shift,MonthlyCharges,numerical,Kolmogorov-Smirnov,0.25697763578274757,7.453600763773273e-50,0.25697763578274757,64.93,80.0166,4.720613817056406e-49,True
batch_003,strong_shift,TotalCharges,numerical,Kolmogorov-Smirnov,0.21688036918707848,1.6527012932000276e-35,0.21688036918707848,2299.3347,1522.3257,7.850331142700132e-35,True
batch_003,strong_shift,SeniorCitizen,numerical,Kolmogorov-Smirnov,0.022705715299964457,0.7634968545673901,0.022705715299964457,0.1633,0.186,0.7634968545673901,False
batch_003,strong_shift,gender,categorical,Chi-Square,2.737491513607732,0.0980185238266886,0.02616009939652117,,,0.10346399737261576,False
batch_003,strong_shift,Partner,categorical,Chi-Square,60.950516934639026,5.852756294537305e-15,0.12338054668086618,,,1.010930632692807e-14,True
batch_003,strong_shift,Dependents,categorical,Chi-Square,30.601837820206303,3.167935241550925e-08,0.08001206957756478,,,4.155056732710719e-08,True
batch_003,strong_shift,PhoneService,categorical,Chi-Square,8.909840124782992,0.00283638096310498,0.028219027334043335,,,0.0031700728411173306,True
batch_003,strong_shift,MultipleLines,categorical,Chi-Square,34.98505976893007,2.5298268444979215e-08,0.09142917997870073,,,3.697439234266193e-08,True
batch_003,strong_shift,InternetService,categorical,Chi-Square,89.28995384937244,4.0825628274321824e-20,0.14828292509762156,,,9.696086715151434e-20,True
batch_003,strong_shift,OnlineSecurity,categorical,Chi-Square,89.56553876246163,3.5570533044766127e-20,0.1495498757543486,,,9.654858969293664e-20,True
batch_003,strong_shift,OnlineBackup,categorical,Chi-Square,80.82332380929039,2.814739646092136e-18,0.14056017039403618,,,5.348005327575059e-18,True
batch_003,strong_shift,DeviceProtection,categorical,Chi-Square,81.29918292217674,2.218741654327047e-18,0.14123535676251328,,,4.684010159134877e-18,True
batch_003,strong_shift,TechSupport,categorical,Chi-Square,105.7707580154675,1.0768909409147329e-23,0.16216471423500178,,,3.410154646229988e-23,True
batch_003,strong_shift,StreamingTV,categorical,Chi-Square,39.05080955833955,3.3130229739419172e-09,0.08889882854100106,,,5.245619708741369e-09,True
batch_003,strong_shift,StreamingMovies,categorical,Chi-Square,34.465486879440796,3.280307946876883e-08,0.08049627263045792,,,4.155056732710719e-08,True
batch_003,strong_shift,Contract,categorical,Chi-Square,427.64911490621694,1.3714330229822793e-93,0.3244142705005325,,,2.6057227436663307e-92,True
batch_003,strong_shift,PaperlessBilling,categorical,Chi-Square,13.80837847752654,0.00020243148011826344,0.05776819311324108,,,0.00024038738264043784,True
batch_003,strong_shift,PaymentMethod,categorical,Chi-Square,124.6691209249837,7.615641116555282e-27,0.15610223642172522,,,2.8939436242910076e-26,True
